,pays,année,kg de protéines
188,Maldives,2018,99110.0
232,Panama,2018,98310.0
208,Myanmar,2018,97880.0
74,Chypre,2018,97860.0
200,Mexique,2018,97350.0
70,"Chine, Taiwan Province de",2018,96820.0
172,Libye,2018,96090.0
271,Saint-Kitts-et-Nevis,2018,95740.0
86,Cuba,2018,95530.0
306,Tchéquie,2018,95430.0
196,Maurice,2018,95290.0
324,Uruguay,2018,95170.0
12,Antigua-et-Barbuda,2018,94730.0
259,République de Moldova,2018,94580.0
6,Algérie,2018,94510.0
134,Hongrie,2018,93600.0
24,Azerbaïdjan,2018,93510.0
336,Égypte,2018,93310.0
322,Ukraine,2018,93100.0
338,Émirats arabes unis,2018,93070.0
184,Malaisie,2018,92250.0
314,Trinité-et-Tobago,2018,92090.0
26,Bahamas,2018,92010.0
328,Viet Nam,2018,91720.0
224,Oman,2018,91430.0
154,Japon,2018,91390.0
116,Grenade,2018,90470.0
94,Dominique,2018,90050.0
110,Gabon,2018,89990.0
214,Niger,2018,89700.0
162,Kirghizistan,2018,89550.0
152,Jamaïque,2018,89020.0
46,Bulgarie,2018,88690.0
180,Macédoine du Nord,2018,87910.0
198,Mauritanie,2018,86800.0
14,Arabie saoudite,2018,86380.0
244,Pérou,2018,85900.0
128,Géorgie,2018,84040.0
170,Liban,2018,83030.0
140,Iran (République islamique d'),2018,82670.0
82,Costa Rica,2018,82620.0
302,Tadjikistan,2018,82490.0
96,El Salvador,2018,80220.0
304,Tchad,2018,80100.0
76,Colombie,2018,80030.0
38,Bolivie (État plurinational de),2018,79610.0
35,Belize,2018,79590.0
2,Afrique du Sud,2018,79080.0
56,Cabo Verde,2018,78250.0
190,Mali,2018,78010.0
222,Népal,2018,77920.0
344,Éthiopie,2018,76860.0
265,République démocratique populaire lao,2018,76760.0
289,Soudan,2018,76080.0
261,République dominicaine,2018,75990.0
48,Burkina Faso,2018,75910.0
285,Slovaquie,2018,75190.0
292,Sri Lanka,2018,74760.0
296,Suriname,2018,74140.0
238,Philippines,2018,74030.0
60,Cameroun,2018,73560.0
234,Paraguay,2018,73490.0
92,Djibouti,2018,73280.0
253,République arabe syrienne,2018,73080.0
138,Indonésie,2018,72680.0
142,Iraq,2018,71420.0
156,Jordanie,2018,70510.0
210,Namibie,2018,70050.0
120,Guatemala,2018,69320.0
230,Pakistan,2018,69180.0
58,Cambodge,2018,68130.0
308,Thaïlande,2018,67520.0
42,Botswana,2018,66400.0
136,Inde,2018,66380.0
186,Malawi,2018,66300.0
300,Sénégal,2018,65910.0
212,Nicaragua,2018,65770.0
340,Équateur,2018,65720.0
54,Bénin,2018,65180.0
114,Ghana,2018,64120.0
29,Bangladesh,2018,63170.0
0,Afghanistan,2018,62920.0
216,Nigéria,2018,62610.0
78,Comores,2018,62200.0
88,Côte d'Ivoire,2018,62120.0
132,Honduras,2018,61760.0
160,Kenya,2018,59620.0
112,Gambie,2018,59610.0
102,Eswatini,2018,59270.0
251,Rwanda,2018,58230.0
269,République-Unie de Tanzanie,2018,57840.0
267,République populaire démocratique de Corée,2018,57580.0
166,Lesotho,2018,57260.0
277,Sao Tomé-et-Principe,2018,56420.0
122,Guinée,2018,55990.0
312,Togo,2018,54440.0
334,Zimbabwe,2018,54360.0
310,Timor-Leste,2018,53510.0
326,Venezuela (République bolivarienne du),2018,53420.0
80,Congo,2018,53330.0
332,Zambie,2018,52320.0
10,Angola,2018,52250.0
330,Yémen,2018,52240.0
283,Sierra Leone,2018,52230.0
255,République centrafricaine,2018,51010.0
130,Haïti,2018,50480.0
226,Ouganda,2018,48680.0
124,Guinée-Bissau,2018,46510.0
174,Libéria,2018,43800.0
182,Madagascar,2018,42100.0
206,Mozambique,2018,41990.0
50,Burundi,2018,38900.0
263,République démocratique du Congo,2018,29680.0
